table_name,column_name,column_values,openAI_semantic_type,annotation,comments,model_x_semantic_type,annotation_x
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",Country,['India'],Categorical,FALSE,,Location,TRUE
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",State,"['Andhra Pradesh', 'Arunachal Pradesh', 'Assam']",Categorical,FALSE,,Location,TRUE
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",Year,"['Financial Year (Apr - Mar), 2019', 'Financial Year (Apr - Mar), 2018', 'Financial Year (Apr - Mar), 2017']",Time,TRUE,,Time,TRUE
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",Ministry Or Department Name,"['Department of Higher Education', 'Ministry of Minority Affairs', 'Department of Agriculture, Cooperation and Farmers Welfare', 'Department of Youth Affairs', 'Ministry of External Affairs']",Categorical,TRUE,,Categorical,TRUE
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",Direct Benefit Transfer (Dbt) Scheme Name,"['Central Sector Scheme of Scholarship for College and University Students', 'Merit-cum- Means based Scholarship for professional and Technical course for minorities', 'Sub Mission On Agriculture Mechanization-Central Sector', 'Assistance to Scouting and Guiding Organizations', 'Outgoing Cultural Programmes']",Categorical,TRUE,,Categorical,TRUE
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",Direct Benefit Transfer (Dbt) Scheme Benefit Type,"['Cash', 'Cash and In Kind', 'In Kind']",Categorical,TRUE,,Categorical,TRUE
"Data/Datasets/Direct Benefit Transfer (DBT) Disbursements - Statewise, Schemewise Data.csv",Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees)),"[121740000.0, 117676203.0, 769869.0, 3451024.0, 32351.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Country,['India'],Categorical,FALSE,,Location,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,State,"['Goa', 'Andhra Pradesh', 'Chhattisgarh', 'Arunachal Pradesh', 'Andaman And Nicobar Islands']",Categorical,FALSE,,Location,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Year,"['Calendar Year (Jan - Dec), 2018', 'Calendar Year (Jan - Dec), 2020']",Time,TRUE,,Time,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Month,"['November, 2018', 'July, 2020', 'March, 2020', 'November, 2020']",Time,TRUE,,Time,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Ration Card Holders Under National Food Security Act ( Nfsa ) (UOM:Number),"[140942.0, 8966390.0, 5282952.0, 117836.0, 16352.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Ration Cards Involved In The Transactions Under National Food Security Act ( Nfsa ) (UOM:Number),"[12457.0, 8422607.0, 0.0, 18254.0, 11273.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Electronic Point Of Sale ( Epos ) Transactions Under National Food Security Act ( Nfsa ) (UOM:Number),"[12478.0, 8457158.0, 8164431.0, 5382.0, 12820.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Aadhar Based Biometric Transactions (UOM:Number),"[12380.0, 8452033.0, 656824.0, 1484.0, 0.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Aadhar Based Integrated Risk Information System ( Iris ) Transactions (UOM:Number),"[98.0, 5125.0, 0.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Aadhar Based One Time Password ( Otp ) Transactions (UOM:Number),[0.0],Numerical,TRUE,,Time,FALSE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Total Aadhaar Based Transactions (UOM:Number),"[12478.0, 8457158.0, 656824.0, 1484.0, 0.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Total Aadhaar Transactions (%) (UOM:%(Percentage)),"[100.0, 8.0, 27.0, 0.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Transactions Authenticated By The Public Distribution System ( Pds ) And One Time Password ( Otp ) (UOM:Number),"[0.0, 12820.0]",Numerical,TRUE,,Time,FALSE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Transactions Authenticated By Modes Other Than One Time Password (Otp ) (UOM:Number),[0.0],Numerical,TRUE,,Time,FALSE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Authenticated Transactions By Other Mode (UOM:Number),"[0.0, 12820.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Authenticated Transactions By Other Mode (%) (UOM:%(Percentage)),"[0.0, 100.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Non-Authenticated Transactions (UOM:Number),"[0.0, 7507607.0, 3898.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Electronic Point of Sale (EPOS) Transactions -Aadhaar Authenticated and other Mode of Authentication under Automated.csv,Non-Authenticated Transactions (%) (UOM:%(Percentage)),"[0.0, 91.0, 72.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Country,['India'],Categorical,FALSE,,Location,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,State,['Andaman And Nicobar Islands'],Location,TRUE,,Location,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,District,['Nicobars'],Categorical,FALSE,,Categorical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Year,"['Agriculture Year (Jul - Jun), 2015']",Time,TRUE,,Time,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Social Group Type,['Institutional'],Categorical,TRUE,,Categorical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Land Area Size,"['(0.5-1.0)', '(1.0-2.0)', '(10.0-20.0)', '(2.0-3.0)', '(3.0-4.0)']",Numerical,TRUE,,Categorical,FALSE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Category Of Holdings,"['Marginal', 'Small', 'Large', 'Semi-Medium']",Categorical,TRUE,,Categorical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Wholly Owned And Self Operated Holdings (UOM:Number),"[4.0, 5.0, 1.0, 2.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Area Of Wholly Owned And Self Operated Holdings (UOM:Ha(Hectares)),"[3.37, 7.533, 10.0, 12.06, 6.733]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Wholly Leased-In Holdings (UOM:Number),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Area Of Wholly Leased-In Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Wholly Otherwise Operated Holdings (UOM:Number),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Area Of Wholly Otherwise Operated Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Partly Owned And Partly Leased-In Holdings (UOM:Number),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Owned Area Of Partly Owned And Partly Leased-In Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Leased Area Of Partly Owned And Partly Leased-In Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Partly Owned And Partly Otherwise Operated Holdings (UOM:Number),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Owned Area Of Partly Owned And Partly Otherwise Operated Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Operated Area Of Partly Owned And Partly Otherwise Operated Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Number),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Leased-In Area Of Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,Operated Area Of Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectares)),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,"Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Number)",[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,"Owned Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectares))",[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,"Leased-In Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectares))",[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number and Area of Operational Holdings by Size Classes and Tenancy Status.csv,"Operated Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectares))",[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Country,['India'],Categorical,FALSE,,Location,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,State,['Andaman And Nicobar Islands'],Location,TRUE,,Location,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,District,['Nicobars'],Categorical,FALSE,,Categorical,FALSE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Year,"['Financial Year (Apr - Mar), 2016']",Time,TRUE,,Time,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Size Of Holdings In Hectares,['1.0 - 1.99'],Numerical,TRUE,,Categorical,FALSE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Agricultural Machine Or Equipment Type,['Animal Drawn Implements'],Categorical,TRUE,,Categorical,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Agricultural Machine Or Equipment Name,"['Animal Drawn Puddler', 'Bund Former', 'Cultivator (Triphali)']",Categorical,TRUE,,Categorical,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Owned/Hired,"['Hired', 'Owned']",Categorical,TRUE,,Categorical,TRUE
Data/Datasets/Estimated Number of Operational Holdings who owned or hired and used Agricultural Machinery By Size Groups.csv,Agricultural Machines Or Equipments (UOM:Number),[0.0],Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Country,['India'],Categorical,TRUE,,Location,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Year,"['Financial Year (Apr - Mar), 2018', 'Financial Year (Apr - Mar), 2020', 'Financial Year (Apr - Mar), 2019', 'Financial Year (Apr - Mar), 2023']",Time,TRUE,,Time,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Region,['North East'],Categorical,FALSE,,Location,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Sector,"['Health', 'Water Supply', 'Other', 'Connectivity(Road & Bridges)', 'Tourism']",Categorical,TRUE,,Categorical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,As On Date,['12-Apr-2024'],Time,TRUE,,Time,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Number Of Funds Released  (UOM:Number),"[0, 2, 1, 7]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Approved Cost Of Funds Released (UOM:INR(IndianRupees)),"[0.0, 9.11, 2.25, 28.31]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Number Of Funds Utilised (UOM:Number),"[0, 3]",Categorical,FALSE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Approved Cost Of Funds Utilised (UOM:INR(IndianRupees)),"[0.0, 4.9]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Number Of Funds Unspent (UOM:Number),"[0, 2, 1, 20]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Approved Cost Of Funds Unspent (UOM:INR(IndianRupees)),"[0.0, 8.57, 2.25, 20.74, 7.8]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Number Of Utilisation Certificates(Ucs) Pending (UOM:Number),"[0, 1, 7]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/Fund Release Status- Sector wise- KAATC.csv,Approved Cost Of Utilisation Certificates(Ucs) Pending (UOM:INR(IndianRupees)),"[0.0, 8.57, 2.25, 16.25, 7.8]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Country,['India'],Categorical,FALSE,,Location,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,State,"['Assam', 'Andhra Pradesh', 'Arunachal Pradesh']",Categorical,FALSE,,Location,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,District,"['Charaideo', 'Tinsukia', 'Kurnool', 'Nagaon', 'Upper Siang']",Categorical,FALSE,,Categorical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Year,"['Calendar Year (Jan - Dec), 2021', 'Calendar Year (Jan - Dec), 2017']",Time,TRUE,,Time,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Class Studying,[3],Categorical,FALSE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Schools Surveyed (UOM:Number),"[105.0, 183.0, 93.0, 102.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Students Surveyed (UOM:Number),"[1839.0, 3318.0, 3228.0, 2064.0, 921.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E302 Evs (UOM:%(Percentage)),"[76.44, 52.53, 60.13, 68.57, 31.6]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E303 Evs (UOM:%(Percentage)),"[64.47, 65.64, 62.0, 58.65, 35.37]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E304 Evs (UOM:%(Percentage)),"[74.03, 60.21, 58.76, 72.26, 37.96]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E305 Evs (UOM:%(Percentage)),"[61.25, 70.3, 73.47, 56.0, 41.86]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E307 Evs (UOM:%(Percentage)),"[76.82, 63.93, 71.1, 60.98, 39.19]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E309 Evs (UOM:%(Percentage)),"[74.4, 57.37, 59.23, 62.71, 33.75]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E310 Evs (UOM:%(Percentage)),"[80.8, 66.46, 69.24, 68.33, 34.53]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E311 Evs (UOM:%(Percentage)),"[68.88, 50.54, 63.1, 52.15, 30.62]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E313 Evs (UOM:%(Percentage)),"[52.09, 33.64, 48.77, 46.27, 22.45]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome E314 Evs (UOM:%(Percentage)),"[76.75, 70.07, 76.86, 64.25, 40.39]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome L304 Language (UOM:%(Percentage)),"[75.63, 60.96, 72.01, 63.07, 43.39]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome L312 Language (UOM:%(Percentage)),"[71.81, 60.29, 72.71, 57.81, 35.24]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M301 Mathematics (UOM:%(Percentage)),"[49.25, 61.69, 66.64, 48.23, 49.69]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M302 Mathematics (UOM:%(Percentage)),"[79.85, 59.76, 80.11, 71.71, 47.56]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M303 Mathematics (UOM:%(Percentage)),"[71.65, 51.88, 62.06, 55.29, 28.42]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M304 Mathematics (UOM:%(Percentage)),"[77.51, 60.94, 64.73, 63.74, 39.74]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M305 Mathematics (UOM:%(Percentage)),"[65.86, 61.75, 62.36, 58.33, 36.48]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M306 Mathematics (UOM:%(Percentage)),"[65.25, 63.92, 68.68, 51.73, 27.04]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M309 Mathematics (UOM:%(Percentage)),"[50.15, 80.8, 78.82, 47.87, 56.17]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M311 Mathematics (UOM:%(Percentage)),"[68.39, 57.73, 12.98, 57.91, 30.0]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M312 Mathematics (UOM:%(Percentage)),"[61.43, 28.36, 41.4, 50.76, 20.41]",Numerical,TRUE,,Numerical,TRUE
Data/Datasets/National Achievement Survey (NAS) Survey of Learning Outcomes - District report for Class 3.csv,Average Performance Of Students On Learning Outcome M317 Mathematics (UOM:%(Percentage)),"[82.8, 71.52, 69.24, 68.35, 47.56]",Numerical,TRUE,,Numerical,TRUE
